,month,시도명,시군구명,monthly_PM10
0,01,강원,강릉시,56.082135523613964
1,01,강원,고성군,
2,01,강원,양구군,36.77818181818182
3,01,강원,원주시,48.18612087746166
4,01,경기,고양시,
5,01,경기,의정부시,
6,01,경기,과천시,69.16191210198672
7,01,경기,광명시,66.27762430939227
8,01,경기,구리시,59.66111111111111
9,01,경기,군포시,78.38037634408602
10,01,경기,김포시,54.7513611615245
11,01,경기,남양주시,35.948965517241376
12,01,경기,부천시,87.3699345410494
13,01,경기,성남시,88.92919657422165
14,01,경기,수원시,71.03320181351663
15,01,경기,시흥시,79.13555589880892
16,01,경기,안산시,67.56507819217596
17,01,경기,안양시,55.3105785970302
18,01,경기,용인시,55.07960199004975
19,01,경기,의왕시,66.39703903095558
20,01,경기,평택시,91.25837988826815
21,01,경남,거제시,
22,01,경남,김해시,33.743034055727556
23,01,경남,진주시,45.59413580246913
24,01,경남,창원시,51.73692395647007
25,01,경북,경주시,38.500815660685156
26,01,경북,구미시,53.91509823561898
27,01,경북,김천시,61.52238805970149
28,01,경북,안동시,46.29671897289586
29,01,경북,영덕군,30.10940170940171
30,01,경북,울릉군,43.84590163934426
31,01,경북,포항시,47.25108841382198
32,01,전남,광양시,43.07972524763569
33,01,전남,목포시,28.553306342780026
34,01,전남,순천시,35.93009118541033
35,01,전남,여수시,36.524658760882375
36,01,전남,영암군,37.56467315716272
37,01,전북,군산시,89.42115079179969
38,01,전북,익산시,124.76190476190476
39,01,전북,임실군,
40,01,전북,전주시,39.370324038272
41,01,제주,제주시,42.343287438961674
42,01,충남,서산시,59.26582405689548
43,01,충남,태안군,73.20718232044199
44,01,충북,제천시,66.03458646616541
45,01,충북,청주시,39.11796246648794
46,02,강원,강릉시,73.74603174603175
47,02,강원,고성군,
48,02,강원,양구군,39.62674650698603
49,02,강원,원주시,52.790810759069586
50,02,경기,고양시,
51,02,경기,의정부시,
52,02,경기,과천시,75.65862615207374
53,02,경기,광명시,86.70331325301204
54,02,경기,구리시,68.55842185128984
55,02,경기,군포시,93.98628048780488
56,02,경기,김포시,55.92982456140351
57,02,경기,남양주시,44.28224582701062
58,02,경기,부천시,95.89925686532281
59,02,경기,성남시,98.84153774343827
60,02,경기,수원시,75.58704938157125
61,02,경기,시흥시,96.49978578396477
62,02,경기,안산시,81.57398193121945
63,02,경기,안양시,60.37009086639208
64,02,경기,용인시,65.69716088328076
65,02,경기,의왕시,71.20089285714286
66,02,경기,평택시,95.6774193548387
67,02,경남,거제시,
68,02,경남,양산시,
69,02,경남,김해시,32.20952380952381
70,02,경남,진주시,37.38914027149321
71,02,경남,창원시,57.20506080892415
72,02,경북,경주시,44.92
73,02,경북,구미시,53.377175393098184
74,02,경북,김천시,64.97305389221557
75,02,경북,안동시,48.72835820895522
76,02,경북,영덕군,45.19718309859155
77,02,경북,울릉군,47.40425531914894
78,02,경북,포항시,51.32568616522541
79,02,전남,광양시,54.200273611111115
80,02,전남,목포시,29.45634266886326
81,02,전남,순천시,44.255319148936174
82,02,전남,여수시,39.18367621714778
83,02,전남,영암군,50.03731343283582
84,02,전북,군산시,72.28142982634822
85,02,전북,익산시,68.69922480620156
86,02,전북,임실군,59.75
87,02,전북,전주시,42.910497866976925
88,02,제주,제주시,52.886567164179105
89,02,충남,서산시,49.166666666666664
90,02,충남,태안군,66.18348623853211
91,02,충북,제천시,69.24285714285715
92,02,충북,청주시,55.996557659208264
93,03,강원,강릉시,41.131764705882354
94,03,강원,고성군,
95,03,강원,양구군,42.740671641791046
96,03,강원,원주시,71.46854967948718
97,03,경기,고양시,
98,03,경기,이천시,
99,03,경기,과천시,92.07273449920508
100,03,경기,광명시,102.51749644381223
101,03,경기,구리시,81.33471074380165
102,03,경기,군포시,120.76933701657458
103,03,경기,김포시,65.16565656565656
104,03,경기,남양주시,50.61052631578947
105,03,경기,부천시,113.03285882383966
106,03,경기,성남시,126.61132486753623
107,03,경기,수원시,99.49321557476897
108,03,경기,시흥시,119.0647659854977
109,03,경기,안산시,104.69633949119617
110,03,경기,안양시,68.18133486659123
111,03,경기,용인시,73.00608828006088
112,03,경기,의왕시,99.67852257181943
113,03,경기,의정부시,62.59016393442623
114,03,경기,평택시,121.6972972972973
115,03,경남,거제시,
116,03,경남,양산시,
117,03,경남,김해시,52.31082981715893
118,03,경남,진주시,54.01081081081081
119,03,경남,창원시,94.04417278148712
120,03,경북,경주시,65.89353099730458
121,03,경북,구미시,84.46726358812573
122,03,경북,김천시,85.04037685060565
123,03,경북,안동시,81.35626911314985
124,03,경북,영덕군,93.41463414634147
125,03,경북,울릉군,75.93827160493827
126,03,경북,포항시,77.32705034122479
127,03,전남,광양시,89.71040079933641
128,03,전남,목포시,60.11891891891892
129,03,전남,순천시,69.32210242587601
130,03,전남,여수시,85.48679867986799
131,03,전남,영암군,78.44354838709677
132,03,전북,군산시,113.92317157169312
133,03,전북,익산시,118.85365853658537
134,03,전북,임실군,100.2281690140845
135,03,전북,전주시,47.795660261292404
136,03,제주,제주시,102.98561151079137
137,03,충남,서산시,98.78779665160945
138,03,충남,태안군,110.26428571428572
139,03,충북,제천시,112.54878048780488
140,03,충북,청주시,92.78992805755395
141,01,광주,,52.43820222174256
142,01,대구,,70.76872068424049
143,01,대전,,74.3076039527022
144,01,부산,,60.945651444411766
145,01,서울,,69.08239551867628
146,01,울산,,42.72956684464281
147,01,인천,,61.00793267572214
148,02,광주,,71.28084589257561
149,02,대구,,74.09862549961424
150,02,대전,,76.09158525709366
151,02,부산,,64.21354848008292
152,02,서울,,79.13015875812441
153,02,울산,,58.62444726297799
154,02,인천,,64.90035450627065
155,03,광주,,85.67816336921412
156,03,대구,,107.7807265464111
157,03,대전,,100.41621672046091
158,03,부산,,88.41189269284529
159,03,서울,,101.26162389935806
160,03,울산,,83.65274776353922
161,03,인천,,82.45761085448923
